PROPERTY,,Groves at Milford,,,,,,,,,,,
ADDRESS,,14 Colonial Road,,,,,,,,,,,
INSPECTOR,,Yuscelino Vargas,,,,,,,,,,,
LICENSE #,,A17546,,,,,,,,,DATE:,"Monday, November 11, 2013",
#,Type,Location,,Alarm,Trouble,Supervisory,Address,Zone,Pass/Fail,Note,,,
1,Annunciator,1st fl ,By front entry,TRUE,FALSE,FALSE,,,Pass,,,,Pass-1
2,Battery(ies),1st fl ,FACP,FALSE,TRUE,FALSE,,,Pass,,,,Pass-2
3,Battery(ies),1st fl ,ADA By FACP,FALSE,TRUE,FALSE,,,Pass,,,,Pass-3
4,Heat Detector,Apt 12,Kitchen,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-4
5,Bell,Apt 12,Kitchen,TRUE,FALSE,FALSE,,,Pass,,,,Pass-5
6,Heat Detector,Apt 12,Livin rm,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-6
7,Heat Detector,Apt 12,Bathrm,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-7
8,Heat Detector,Apt 12,Laundry,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-8
9,Heat Detector,Apt 12,Closet,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-9
10,Heat Detector,Apt 12,Bedrm 1,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-10
11,Heat Detector,Apt 12,Bedrm 1 closet,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-11
12,Heat Detector,Apt 12,Bedrm 2,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-12
13,Heat Detector,Apt 12,Bedrm 2 closet,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-13
14,Smoke Detector,3rd fl,By Apt 12,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-14
15,Pull Station,3rd fl,By Apt 12,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-15
16,Heat Detector,Apt 9,Kitchen,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-16
17,Bell,Apt 9,Kitchen,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-17
18,Heat Detector,Apt 9,Livin rm,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-18
19,Heat Detector,Apt 9,Bathrm,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-19
20,Heat Detector,Apt 9,Laundry,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-20
21,Heat Detector,Apt 9,Closet,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-21
22,Heat Detector,Apt 9,Bedrm 1,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-22
23,Heat Detector,Apt 9,Bedrm 1 closet,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-23
24,Heat Detector,Apt 9,Bedrm 2,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-24
25,Heat Detector,Apt 9,Bedrm 2 closet,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-25
26,Smoke Detector,3rd fl,Hallway,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-26
27,Horn Strobe,3rd fl,Hallway,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-27
28,Heat Detector,Apt 11,Kitchen,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-28
29,Bell,Apt 11,Kitchen,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-29
30,Heat Detector,Apt 11,Livin rm,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-30
31,Heat Detector,Apt 11,Bathrm,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-31
32,Heat Detector,Apt 11,Laundry,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-32
33,Heat Detector,Apt 11,Closet,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-33
34,Heat Detector,Apt 11,Bedrm 1,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-34
35,Heat Detector,Apt 11,Bedrm 1 closet,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-35
36,Heat Detector,Apt 11,Bedrm 2,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-36
37,Heat Detector,Apt 11,Bedrm 2 closet,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-37
38,Smoke Detector,3rd fl,By Apt 10,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-38
39,Pull Station,3rd fl,By Apt 10,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-39
40,Heat Detector,Apt 10,Kitchen,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-40
41,Bell,Apt 10,Kitchen,TRUE,FALSE,FALSE,,,Pass,,,,Pass-41
42,Heat Detector,Apt 10,Livin rm,TRUE,FALSE,FALSE,,3,Pass,,,,Pass-42
