#,#,Type,Location,,Address,Zone,Pass/Fail,Notes
48,43,Heat Detector,Apt 10,Bathrm, ,3,Fail,Painted.
54,49,Heat Detector,Apt 10,Bedrm 2 closet, ,3,Fail,Painted.
60,55,Heat Detector,Apt 8,Closet, ,2,Fail,Painted.
70,65,Heat Detector,Apt 5,Bathrm, ,2,Fail,Painted.
96,91,Heat Detector,Apt 6,Bathrm, ,2,Fail,Painted.
119,114,Heat Detector,Apt 1,Laundry, ,1,Fail,Painted.
123,118,Heat Detector,Apt 1 ,Bedrm 2, ,1,Fail,Painted.
133,128,Heat Detector,Apt 2,Laundry, ,1,Fail,Painted.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
