PROPERTY,,Keystone Apartments,,,,,,,,,,,
ADDRESS,,151 Hallet Street,,,,,,,,,,,
INSPECTOR,,Nate Donnelly,,,,,,,,,,,
LICENSE #,,A17546,,,,,,,,,DATE:,"Friday, September 26, 2014",
#,Type,Location,,Alarm,Trouble,Supervisory,Address,Zone,Pass/Fail,Note,,,
0,Battery(ies),FACP,Main electric room,FALSE,TRUE,FALSE,,,Pass,,,,Pass-1
1, Annunciator,1st Floor ,Front entrance,FALSE,TRUE,FALSE,,,Pass,,,,Pass-2
2,Tamper Switch,5th Floor,Trash Rm Right,FALSE,TRUE,FALSE,M007,,Pae Donss,,,,Pass-3
3,Flow Switch,5th Floor,Trash Rm Right,TRUE,FALSE,FALSE,M007,,Pass,,,,Pass-4
4,Tamper Switch,4th Floor,Trash Rm Right,FALSE,TRUE,FALSE,M012,,Pass,,,,Pass-5
5,Flow Switch,4th Floor,Trash Rm Right,TRUE,FALSE,FALSE,M012,,Pass,,,,Pass-6
6,Tamper Switch,3rd Floor,Trash Rm Right,FALSE,TRUE,FALSE,M009,,Pass,,,,Pass-7
7,Flow Switch,3rd Floor,Trash Rm Right,TRUE,FALSE,FALSE,M009,,Pass,,,,Pass-8
8,Tamper Switch,2nd Floor,Trash Rm Right,FALSE,TRUE,FALSE,M001,,Pass,,,,Pass-9
9,Flow Switch,2nd Floor,Trash Rm Right,TRUE,FALSE,FALSE,M001,,Pass,,,,Pass-10
10,Tamper Switch,1st Floor,Trash Rm Right,FALSE,TRUE,FALSE,M010,,Pass,,,,Pass-11
11,Flow Switch,1st Floor,Trash Rm Right,TRUE,FALSE,FALSE,M010,,Pass,,,,Pass-12
12,Tamper Switch,1st Floor,Right Hall,FALSE,TRUE,FALSE,M010,,Pass,,,,Pass-13
13,Flow Switch,1st Floor,Right Hall,TRUE,FALSE,FALSE,M010,,Pass,,,,Pass-14
14,Tamper Switch,1st Floor,compactor Rm Right,FALSE,TRUE,FALSE,M010,,Pass,,,,Pass-15
15,Flow Switch,1st Floor,compactor Rm Right,TRUE,FALSE,FALSE,M010,,Pass,,,,Pass-16
16,Tamper Switch,5th Floor,Trash Rm left,FALSE,TRUE,FALSE,M003,,Pass,,,,Pass-17
17,Flow Switch,5th Floor,Trash Rm left,TRUE,FALSE,FALSE,M003,,Pass,,,,Pass-18
18,Tamper Switch,4th Floor,Trash Rm left,FALSE,TRUE,FALSE,M008,,Pass,,,,Pass-19
19,Flow Switch,4th Floor,Trash Rm left,TRUE,FALSE,FALSE,M008,,Pass,,,,Pass-20
20,Tamper Switch,3rd Floor,Trash Rm left,FALSE,TRUE,FALSE,M002,,Pass,,,,Pass-21
21,Flow Switch,3rd Floor,Trash Rm left,TRUE,FALSE,FALSE,M002,,Pass,,,,Pass-22
22,Tamper Switch,2nd Floor,Trash Rm left,FALSE,TRUE,FALSE,M004,,Pass,,,,Pass-23
23,Flow Switch,2nd Floor,Trash Rm left,TRUE,FALSE,FALSE,M004,,Pass,,,,Pass-24
24,Tamper Switch,1st Floor,Hall left,FALSE,TRUE,FALSE,M005,,Pass,,,,Pass-25
25,Flow Switch,1st Floor,Hall left,TRUE,FALSE,FALSE,M005,,Pass,,,,Pass-26
26,Tamper Switch,1st Floor,compactor Rm left,FALSE,TRUE,FALSE,M005,,Pass,,,,Pass-27
27,Flow Switch,1st Floor,compactor Rm left,TRUE,FALSE,FALSE,M005,,Pass,,,,Pass-28
28,Tamper Switch,1st Floor,Standpipe by Stair 1,FALSE,TRUE,FALSE,M005,,Pass,,,,Pass-29
29,Tamper Switch,1st Floor,Standpipe left side of elevator,FALSE,TRUE,FALSE,M015,,Pass,,,,Pass-30
30,Flow Switch,1st Floor,Standpipe center community rm,TRUE,FALSE,FALSE,M015,,Pass,,,,Pass-31
31,Tamper Switch,1st Floor,Standpipe center community rm,FALSE,FALSE,FALSE,M015,,Pass,,,,Pass-32
32,Tamper Switch,1st Floor,Standpipe center by community rm,FALSE,FALSE,FALSE,M015,,Pass,,,,Pass-33
33,Tamper Switch,1st Floor,Standpipe right of elevator,FALSE,FALSE,FALSE,M015,,Pass,,,,Pass-34
34,Tamper Switch,1st Floor,Standpipe by stair 4,FALSE,FALSE,FALSE,M010,,Pass,,,,Pass-35
35,Tamper Switch,1st Floor,Main sprinkler Rm city side,FALSE,TRUE,FALSE,M014,,Pass,,,,Pass-36
36,Tamper Switch,1st Floor,Main Sprinkler Rm system side,FALSE,TRUE,FALSE,M014,,Pass,,,,Pass-37
37,Tamper Switch,1st Floor,Main sprinkler Rm valve city side of pump,FALSE,TRUE,FALSE,M014,,Pass,,,,Pass-38
38,Tamper Switch,1st Floor,Main sprinkler Rm discharge side,FALSE,TRUE,FALSE,M014,,Pass,,,,Pass-39
39,Tamper Switch,1st Floor,Main sprinkler Rm city side bypass,FALSE,TRUE,FALSE,M014,,Pass,,,,Pass-40
40,Tamper Switch,1st Floor,Main sprinkler Rm system side bypass,FALSE,TRUE,FALSE,M014,,Pass,,,,Pass-41
